time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,17800,17800,17750,17800,59900,VRE,CT
2024-11-04 09:16:00,17800,17850,17800,17800,24600,VRE,CT
2024-11-04 09:17:00,17850,17850,17850,17850,1300,VRE,CT
2024-11-04 09:18:00,17850,17850,17800,17850,57900,VRE,CT
2024-11-04 09:19:00,17850,17850,17800,17800,2700,VRE,CT
2024-11-04 09:20:00,17850,17850,17800,17800,4200,VRE,CT
2024-11-04 09:21:00,17800,17850,17800,17850,13700,VRE,CT
2024-11-04 09:22:00,17850,17850,17850,17850,9400,VRE,CT
2024-11-04 09:23:00,17850,17850,17800,17850,5400,VRE,CT
2024-11-04 09:25:00,17850,17850,17850,17850,4200,VRE,CT
2024-11-04 09:26:00,17850,17850,17800,17800,700,VRE,CT
2024-11-04 09:27:00,17800,17850,17800,17850,15700,VRE,CT
2024-11-04 09:28:00,17850,17850,17800,17800,3400,VRE,CT
2024-11-04 09:29:00,17800,17800,17800,17800,8000,VRE,CT
2024-11-04 09:30:00,17850,17850,17800,17800,1400,VRE,CT
2024-11-04 09:31:00,17800,17800,17800,17800,1800,VRE,CT
2024-11-04 09:33:00,17850,17850,17800,17800,28900,VRE,CT
2024-11-04 09:34:00,17800,17850,17800,17850,11300,VRE,CT
2024-11-04 09:35:00,17800,17850,17800,17850,55700,VRE,CT
2024-11-04 09:36:00,17800,17850,17800,17850,600,VRE,CT
2024-11-04 09:37:00,17800,17800,17750,17800,50800,VRE,CT
2024-11-04 09:38:00,17800,17800,17800,17800,200,VRE,CT
2024-11-04 09:39:00,17750,17800,17750,17800,13800,VRE,CT
2024-11-04 09:40:00,17800,17800,17800,17800,56800,VRE,CT
2024-11-04 09:41:00,17800,17800,17800,17800,3500,VRE,CT
2024-11-04 09:42:00,17800,17800,17800,17800,40100,VRE,CT
2024-11-04 09:43:00,17800,17800,17800,17800,10600,VRE,CT
2024-11-04 09:44:00,17800,17850,17800,17800,17200,VRE,CT
2024-11-04 09:45:00,17800,17800,17800,17800,30000,VRE,CT
2024-11-04 09:46:00,17800,17800,17800,17800,100,VRE,CT
2024-11-04 09:47:00,17800,17800,17800,17800,6400,VRE,CT
2024-11-04 09:48:00,17800,17800,17800,17800,3000,VRE,CT
2024-11-04 09:49:00,17750,17750,17750,17750,11100,VRE,CT
2024-11-04 09:50:00,17750,17800,17750,17800,13900,VRE,CT
2024-11-04 09:51:00,17800,17800,17800,17800,4000,VRE,CT
2024-11-04 09:52:00,17800,17800,17750,17750,4600,VRE,CT
2024-11-04 09:53:00,17750,17750,17750,17750,12900,VRE,CT
2024-11-04 09:54:00,17800,17800,17800,17800,2800,VRE,CT
2024-11-04 09:55:00,17800,17800,17800,17800,41000,VRE,CT
2024-11-04 09:56:00,17800,17850,17800,17850,19200,VRE,CT
2024-11-04 09:57:00,17850,17850,17800,17800,6000,VRE,CT
2024-11-04 09:58:00,17850,17850,17800,17800,20900,VRE,CT
2024-11-04 09:59:00,17800,17800,17750,17750,11300,VRE,CT
2024-11-04 10:00:00,17750,17800,17750,17750,128400,VRE,CT
2024-11-04 10:01:00,17750,17750,17750,17750,5900,VRE,CT
2024-11-04 10:02:00,17750,17750,17750,17750,3700,VRE,CT
2024-11-04 10:03:00,17750,17750,17700,17700,8600,VRE,CT
2024-11-04 10:04:00,17700,17700,17700,17700,3300,VRE,CT
2024-11-04 10:05:00,17700,17700,17600,17650,239400,VRE,CT
2024-11-04 10:06:00,17600,17650,17600,17600,66000,VRE,CT
2024-11-04 10:07:00,17600,17650,17550,17600,38400,VRE,CT
2024-11-04 10:08:00,17600,17600,17600,17600,26500,VRE,CT
2024-11-04 10:09:00,17600,17600,17600,17600,10400,VRE,CT
2024-11-04 10:10:00,17650,17650,17650,17650,10100,VRE,CT
2024-11-04 10:11:00,17650,17650,17650,17650,4600,VRE,CT
2024-11-04 10:12:00,17650,17650,17650,17650,45000,VRE,CT
2024-11-04 10:13:00,17650,17650,17650,17650,9200,VRE,CT
2024-11-04 10:14:00,17700,17700,17650,17700,11300,VRE,CT
2024-11-04 10:15:00,17700,17700,17700,17700,6700,VRE,CT
2024-11-04 10:16:00,17700,17700,17650,17700,4600,VRE,CT
2024-11-04 10:17:00,17700,17700,17650,17700,3900,VRE,CT
2024-11-04 10:18:00,17650,17700,17650,17700,12300,VRE,CT
2024-11-04 10:19:00,17700,17700,17650,17650,12300,VRE,CT
2024-11-04 10:20:00,17700,17700,17650,17650,15800,VRE,CT
2024-11-04 10:21:00,17650,17700,17650,17700,4500,VRE,CT
