time,open,high,low,close,volume,ticker,companyType
2024-11-04 09:15:00,94000,94000,93500,93500,8200,VCB,NH
2024-11-04 09:16:00,94000,94000,94000,94000,900,VCB,NH
2024-11-04 09:17:00,94000,94000,94000,94000,100,VCB,NH
2024-11-04 09:18:00,93900,93900,93700,93700,3300,VCB,NH
2024-11-04 09:19:00,93700,93700,93700,93700,300,VCB,NH
2024-11-04 09:20:00,93600,93700,93600,93600,6300,VCB,NH
2024-11-04 09:21:00,93600,93700,93600,93700,2700,VCB,NH
2024-11-04 09:22:00,93700,93700,93600,93700,25400,VCB,NH
2024-11-04 09:23:00,93900,94300,93900,94300,12200,VCB,NH
2024-11-04 09:24:00,94300,94400,94300,94400,14100,VCB,NH
2024-11-04 09:25:00,94400,94500,94400,94400,6100,VCB,NH
2024-11-04 09:26:00,94400,94600,94400,94600,19500,VCB,NH
2024-11-04 09:27:00,94700,95000,94700,95000,38800,VCB,NH
2024-11-04 09:28:00,95000,95200,95000,95000,12400,VCB,NH
2024-11-04 09:29:00,95200,95300,95200,95200,11200,VCB,NH
2024-11-04 09:30:00,95300,95300,95000,95200,6200,VCB,NH
2024-11-04 09:31:00,95200,95200,95200,95200,800,VCB,NH
2024-11-04 09:32:00,95100,95100,95100,95100,100,VCB,NH
2024-11-04 09:33:00,95000,95000,94900,94900,1700,VCB,NH
2024-11-04 09:34:00,95000,95000,94900,94900,700,VCB,NH
2024-11-04 09:35:00,94900,94900,94800,94800,2300,VCB,NH
2024-11-04 09:36:00,94900,94900,94800,94900,9700,VCB,NH
2024-11-04 09:37:00,95000,95000,94900,95000,2900,VCB,NH
2024-11-04 09:38:00,95000,95000,95000,95000,200,VCB,NH
2024-11-04 09:39:00,94900,94900,94800,94800,6100,VCB,NH
2024-11-04 09:40:00,94900,94900,94800,94800,900,VCB,NH
2024-11-04 09:41:00,94900,94900,94900,94900,100,VCB,NH
2024-11-04 09:42:00,94800,94900,94800,94900,1300,VCB,NH
2024-11-04 09:43:00,94900,94900,94900,94900,100,VCB,NH
2024-11-04 09:44:00,94900,94900,94900,94900,1000,VCB,NH
2024-11-04 09:45:00,94900,94900,94800,94800,8400,VCB,NH
2024-11-04 09:46:00,94900,94900,94800,94900,3500,VCB,NH
2024-11-04 09:47:00,94900,94900,94800,94800,1800,VCB,NH
2024-11-04 09:48:00,94900,94900,94800,94800,1300,VCB,NH
2024-11-04 09:49:00,94800,94800,94700,94700,1700,VCB,NH
2024-11-04 09:50:00,94800,94800,94800,94800,2800,VCB,NH
2024-11-04 09:51:00,94800,94800,94700,94700,7600,VCB,NH
2024-11-04 09:52:00,94800,94800,94800,94800,900,VCB,NH
2024-11-04 09:53:00,94800,94800,94700,94700,1400,VCB,NH
2024-11-04 09:54:00,94800,94800,94700,94800,3600,VCB,NH
2024-11-04 09:55:00,94800,94900,94800,94900,7900,VCB,NH
2024-11-04 09:56:00,94900,94900,94900,94900,8100,VCB,NH
2024-11-04 09:57:00,94900,94900,94700,94800,5200,VCB,NH
2024-11-04 09:58:00,94900,94900,94900,94900,500,VCB,NH
2024-11-04 10:00:00,94900,94900,94800,94800,1400,VCB,NH
2024-11-04 10:01:00,94900,94900,94700,94700,4200,VCB,NH
2024-11-04 10:02:00,94800,94800,94700,94700,1600,VCB,NH
2024-11-04 10:03:00,94800,94800,94800,94800,2800,VCB,NH
2024-11-04 10:04:00,94800,94800,94800,94800,2300,VCB,NH
2024-11-04 10:05:00,94800,94800,94800,94800,200,VCB,NH
2024-11-04 10:06:00,94700,94700,94700,94700,4200,VCB,NH
2024-11-04 10:07:00,94800,94800,94800,94800,6700,VCB,NH
2024-11-04 10:08:00,94900,94900,94900,94900,700,VCB,NH
