ticker,time,orderType,investorType,volume,averagePrice,orderCount,prevPriceChange
MSN,2024-11-12 14:29:58,Buy Up,SHEEP,200,73500.0,2,0.0
MSN,2024-11-12 14:29:57,Buy Up,SHEEP,300,73500.0,2,0.0
MSN,2024-11-12 14:29:55,Buy Up,SHEEP,2000,73500.0,7,0.0
MSN,2024-11-12 14:29:51,Buy Up,SHARK,23700,73500.0,16,0.0
MSN,2024-11-12 14:29:46,Buy Up,SHEEP,1100,73500.0,5,100.0
MSN,2024-11-12 14:29:43,Sell Down,SHEEP,2000,73400.0,1,-100.0
MSN,2024-11-12 14:29:38,Buy Up,WOLF,6600,73500.0,15,0.0
MSN,2024-11-12 14:29:37,Buy Up,WOLF,3000,73500.0,2,0.0
MSN,2024-11-12 14:29:35,Buy Up,WOLF,4500,73500.0,9,0.0
MSN,2024-11-12 14:29:33,Buy Up,SHEEP,100,73500.0,1,0.0
MSN,2024-11-12 14:29:31,Buy Up,WOLF,9600,73500.0,13,100.0
MSN,2024-11-12 14:29:28,Sell Down,SHEEP,100,73400.0,1,-100.0
MSN,2024-11-12 14:29:28,Buy Up,SHEEP,200,73500.0,1,0.0
MSN,2024-11-12 14:29:23,Buy Up,WOLF,10100,73500.0,3,0.0
MSN,2024-11-12 14:29:22,Buy Up,SHEEP,100,73500.0,1,0.0
MSN,2024-11-12 14:29:17,Buy Up,SHEEP,1300,73500.0,1,100.0
MSN,2024-11-12 14:29:16,Sell Down,SHEEP,500,73400.0,1,0.0
MSN,2024-11-12 14:29:06,Sell Down,SHEEP,300,73400.0,1,0.0
MSN,2024-11-12 14:29:02,Sell Down,SHEEP,1000,73400.0,1,0.0
MSN,2024-11-12 14:28:59,Buy Up,SHARK,25900,73400.0,39,100.0
MSN,2024-11-12 14:28:59,Sell Down,SHEEP,100,73300.0,1,-100.0
MSN,2024-11-12 14:28:56,Buy Up,WOLF,5000,73400.0,4,0.0
MSN,2024-11-12 14:28:53,Buy Up,SHEEP,900,73400.0,1,0.0
MSN,2024-11-12 14:28:51,Buy Up,SHEEP,2000,73400.0,1,100.0
MSN,2024-11-12 14:28:51,Sell Down,SHEEP,100,73300.0,1,-100.0
MSN,2024-11-12 14:28:50,Buy Up,SHEEP,500,73400.0,1,100.0
MSN,2024-11-12 14:28:48,Sell Down,SHEEP,1000,73300.0,1,-100.0
MSN,2024-11-12 14:28:48,Buy Up,WOLF,10000,73400.0,5,100.0
MSN,2024-11-12 14:28:33,Sell Down,SHEEP,100,73300.0,1,-100.0
MSN,2024-11-12 14:28:31,Buy Up,SHEEP,200,73400.0,1,0.0
MSN,2024-11-12 14:28:29,Buy Up,SHEEP,500,73400.0,1,0.0
MSN,2024-11-12 14:28:24,Buy Up,SHEEP,1000,73400.0,1,0.0
MSN,2024-11-12 14:28:14,Buy Up,SHEEP,200,73400.0,1,0.0
MSN,2024-11-12 14:28:01,Buy Up,SHEEP,500,73400.0,2,100.0
MSN,2024-11-12 14:27:58,Sell Down,SHEEP,500,73300.0,1,0.0
MSN,2024-11-12 14:27:54,Sell Down,SHEEP,500,73300.0,1,0.0
MSN,2024-11-12 14:27:45,Sell Down,SHEEP,2200,73300.0,3,0.0
MSN,2024-11-12 14:27:43,Sell Down,SHEEP,2000,73300.0,2,-100.0
MSN,2024-11-12 14:27:41,Buy Up,SHEEP,1400,73400.0,1,100.0
MSN,2024-11-12 14:27:39,Sell Down,SHEEP,500,73300.0,1,-100.0
MSN,2024-11-12 14:27:34,Buy Up,SHEEP,1200,73400.0,2,100.0
MSN,2024-11-12 14:27:22,Sell Down,SHEEP,500,73300.0,1,0.0
MSN,2024-11-12 14:27:18,Sell Down,SHEEP,100,73300.0,1,-100.0
MSN,2024-11-12 14:27:16,Buy Up,SHEEP,100,73400.0,1,0.0
MSN,2024-11-12 14:26:59,Buy Up,SHEEP,300,73400.0,1,0.0
MSN,2024-11-12 14:26:54,Buy Up,SHEEP,500,73400.0,1,100.0
MSN,2024-11-12 14:26:54,Sell Down,SHEEP,100,73300.0,1,0.0
MSN,2024-11-12 14:26:47,Sell Down,SHEEP,2100,73300.0,4,0.0
MSN,2024-11-12 14:26:44,Sell Down,SHEEP,1200,73300.0,3,-100.0
MSN,2024-11-12 14:26:44,Buy Up,SHEEP,200,73400.0,1,100.0
MSN,2024-11-12 14:26:42,Sell Down,SHEEP,300,73300.0,2,0.0
MSN,2024-11-12 14:26:39,Sell Down,SHEEP,500,73300.0,1,0.0
MSN,2024-11-12 14:26:37,Sell Down,SHEEP,200,73300.0,1,0.0
MSN,2024-11-12 14:26:33,Sell Down,SHEEP,200,73300.0,1,0.0
MSN,2024-11-12 14:26:32,Sell Down,SHEEP,1300,73300.0,4,-100.0
MSN,2024-11-12 14:26:30,Buy Up,WOLF,3000,73400.0,1,100.0
MSN,2024-11-12 14:26:29,Sell Down,SHEEP,200,73300.0,1,0.0
MSN,2024-11-12 14:26:27,Sell Down,SHEEP,200,73300.0,1,0.0
MSN,2024-11-12 14:26:25,Sell Down,SHEEP,1700,73300.0,3,0.0
MSN,2024-11-12 14:26:24,Sell Down,SHEEP,1000,73300.0,4,-100.0
MSN,2024-11-12 14:26:23,Buy Up,SHEEP,200,73400.0,1,100.0
MSN,2024-11-12 14:26:22,Sell Down,SHEEP,500,73300.0,2,0.0
MSN,2024-11-12 14:26:16,Sell Down,SHEEP,400,73300.0,2,0.0
MSN,2024-11-12 14:26:11,Sell Down,SHEEP,1000,73300.0,2,0.0
MSN,2024-11-12 14:26:00,Sell Down,SHEEP,500,73300.0,2,0.0
MSN,2024-11-12 14:25:54,Sell Down,SHEEP,1200,73300.0,4,0.0
MSN,2024-11-12 14:25:48,Sell Down,SHEEP,500,73300.0,2,0.0
MSN,2024-11-12 14:25:46,Sell Down,WOLF,7500,73300.0,11,0.0
MSN,2024-11-12 14:25:43,Sell Down,SHEEP,300,73300.0,1,0.0
MSN,2024-11-12 14:25:41,Sell Down,SHEEP,500,73300.0,1,-100.0
MSN,2024-11-12 14:25:37,Buy Up,SHEEP,300,73400.0,1,100.0
MSN,2024-11-12 14:25:35,Sell Down,SHEEP,300,73300.0,1,0.0
MSN,2024-11-12 14:25:26,Sell Down,WOLF,3000,73300.0,4,0.0
MSN,2024-11-12 14:25:24,Sell Down,SHEEP,100,73300.0,1,0.0
MSN,2024-11-12 14:25:21,Sell Down,SHEEP,600,73300.0,1,0.0
MSN,2024-11-12 14:24:52,Sell Down,SHEEP,1000,73300.0,1,0.0
MSN,2024-11-12 14:24:49,Sell Down,SHEEP,1100,73300.0,6,0.0
MSN,2024-11-12 14:24:24,Sell Down,SHEEP,200,73300.0,2,0.0
MSN,2024-11-12 14:24:13,Buy Up,WOLF,4400,73300.0,2,0.0
MSN,2024-11-12 14:24:09,Buy Up,WOLF,10000,73300.0,3,0.0
MSN,2024-11-12 14:24:07,Buy Up,SHEEP,2200,73300.0,1,0.0
MSN,2024-11-12 14:24:05,Buy Up,SHEEP,200,73300.0,1,0.0
MSN,2024-11-12 14:24:00,Buy Up,SHEEP,100,73300.0,1,0.0
MSN,2024-11-12 14:23:56,Sell Down,SHEEP,1800,73300.0,4,0.0
MSN,2024-11-12 14:23:51,Buy Up,SHEEP,1700,73300.0,4,0.0
MSN,2024-11-12 14:23:49,Buy Up,SHEEP,1400,73300.0,2,0.0
MSN,2024-11-12 14:23:46,Buy Up,SHEEP,2000,73300.0,5,0.0
MSN,2024-11-12 14:23:42,Buy Up,SHEEP,500,73300.0,2,0.0
MSN,2024-11-12 14:23:38,Buy Up,SHEEP,200,73300.0,2,0.0
MSN,2024-11-12 14:23:26,Buy Up,SHEEP,300,73300.0,1,0.0
MSN,2024-11-12 14:23:26,Sell Down,WOLF,3600,73300.0,4,0.0
MSN,2024-11-12 14:23:24,Sell Down,SHEEP,700,73300.0,1,0.0
MSN,2024-11-12 14:23:22,Sell Down,SHEEP,1000,73300.0,1,0.0
MSN,2024-11-12 14:23:14,Sell Down,SHEEP,100,73300.0,1,0.0
MSN,2024-11-12 14:23:12,Sell Down,SHEEP,400,73300.0,1,0.0
MSN,2024-11-12 14:23:07,Sell Down,SHEEP,1000,73300.0,5,0.0
MSN,2024-11-12 14:23:05,Sell Down,SHEEP,2500,73300.0,7,0.0
MSN,2024-11-12 14:22:58,Sell Down,SHEEP,100,73300.0,1,0.0
MSN,2024-11-12 14:22:53,Sell Down,SHEEP,200,73300.0,1,0.0
MSN,2024-11-12 14:22:48,Sell Down,WOLF,5000,73300.0,7,0.0
